DATETIME,TOTALDEMAND,TEMPERATURE,Rain,Evap,Radn,VP,RH,bushfire,flood,temp_change,high_temp_change,humid_change,high_humid_change,rain_change,high_rain_change,high_humid_past_week,high_rain_past_week,high_temp_past_week
2010-01-01,7801.35,25.09,0.2,5.2,14.6,23.1,76.35,0.0,0.0,0.07000000000000028,0,6.599999999999994,0,0.2,0,0,0,0
2010-01-02,8017.46,24.77,0.0,5.9,18.4,22.0,67.8,0.0,0.0,-0.3200000000000003,0,-8.549999999999997,0,-0.2,0,0,0,0
2010-01-03,7399.9,19.43,15.2,1.9,7.3,19.1,83.25,0.0,0.0,-5.34,1,15.450000000000003,1,15.2,1,0,0,0
2010-01-04,8241.72,20.63,0.2,3.4,14.4,18.2,75.15,0.0,0.0,1.1999999999999993,0,-8.099999999999994,0,-15.0,1,1,1,1
2010-01-05,8827.81,22.66,0.0,6.8,28.1,16.9,65.35,0.0,0.0,2.030000000000001,0,-9.800000000000011,0,-0.2,0,1,1,1
2010-01-06,9021.72,22.68,0.0,6.9,29.5,21.2,69.15,0.0,0.0,0.019999999999999574,0,3.8000000000000114,0,0.0,0,1,1,1
2010-01-07,8566.85,21.88,0.0,4.1,13.9,16.9,61.75,0.0,0.0,-0.8000000000000007,0,-7.400000000000006,0,0.0,0,1,1,1
2010-01-08,8926.81,22.88,0.4,5.0,23.2,18.2,64.9,0.0,0.0,1.0,0,3.1500000000000057,0,0.4,0,1,1,1
2010-01-09,9242.46,27.42,0.0,9.2,32.6,21.0,66.1,0.0,0.0,4.540000000000003,0,1.1999999999999886,0,-0.4,0,1,1,1
2010-01-10,9101.04,25.3,0.0,8.8,32.8,18.8,57.55,1.0,0.0,-2.120000000000001,0,-8.549999999999997,0,0.0,0,1,1,1
2010-01-11,9584.22,23.7,0.0,6.0,24.0,17.2,58.65,0.0,0.0,-1.6000000000000014,0,1.1000000000000014,0,0.0,0,0,1,0
2010-01-12,10736.34,26.94,0.0,8.8,29.2,23.1,61.85,1.0,0.0,3.240000000000002,0,3.200000000000003,0,0.0,0,0,0,0
2010-01-13,9771.57,23.47,0.0,8.0,27.8,22.2,64.4,1.0,0.0,-3.4700000000000024,0,2.5500000000000043,0,0.0,0,0,0,0
2010-01-14,8810.47,20.29,8.2,2.7,9.7,18.4,75.9,1.0,0.0,-3.1799999999999997,0,11.5,1,8.2,0,0,0,0
2010-01-15,8988.73,22.05,0.0,4.1,14.5,19.4,69.25,1.0,0.0,1.7600000000000016,0,-6.650000000000006,0,-8.2,0,1,0,0
2010-01-16,8370.98,23.51,0.0,4.8,18.4,20.4,66.45,1.0,0.0,1.4600000000000009,0,-2.799999999999997,0,0.0,0,1,0,0
2010-01-17,7915.44,21.99,0.0,7.1,26.5,18.2,70.6,1.0,0.0,-1.5200000000000031,0,4.1499999999999915,0,0.0,0,1,0,0
2010-01-18,8526.44,20.79,0.2,9.1,30.6,10.9,50.4,0.0,0.0,-1.1999999999999993,0,-20.199999999999996,1,0.2,0,1,0,0
2010-01-19,8527.11,19.55,0.0,8.0,32.9,7.5,35.55,0.0,0.0,-1.2399999999999984,0,-14.850000000000001,1,-0.2,0,1,0,0
2010-01-20,8972.36,21.93,0.0,8.2,33.0,9.4,42.1,0.0,0.0,2.379999999999999,0,6.550000000000004,0,0.0,0,1,0,0
2010-01-21,9957.95,23.66,0.0,7.6,32.5,21.1,67.95,0.0,0.0,1.7300000000000004,0,25.85,1,0.0,0,1,0,0
2010-01-22,10745.42,27.57,0.0,11.4,29.6,22.1,60.75,0.0,0.0,3.91,0,-7.200000000000003,0,0.0,0,1,0,0
2010-01-23,9579.31,28.21,0.0,9.0,21.2,12.5,31.55,1.0,0.0,0.6400000000000006,0,-29.2,1,0.0,0,1,0,0
2010-01-24,8065.27,20.75,3.2,3.8,10.6,19.4,79.9,1.0,0.0,-7.460000000000001,1,48.35000000000001,1,3.2,0,1,0,0
2010-01-25,9304.52,23.47,0.0,3.9,17.2,20.4,73.05,1.0,0.0,2.719999999999999,0,-6.8500000000000085,0,-3.2,0,1,0,1
2010-01-26,9294.97,26.36,0.0,7.2,26.3,24.7,69.5,1.0,0.0,2.8900000000000006,0,-3.549999999999997,0,0.0,0,1,0,1
2010-01-27,9571.34,23.68,0.0,3.9,14.9,20.3,63.6,1.0,0.0,-2.6799999999999997,0,-5.899999999999999,0,0.0,0,1,0,1
2010-01-28,9474.54,23.16,0.8,2.8,8.7,22.8,75.65,1.0,0.0,-0.5199999999999996,0,12.050000000000004,1,0.8,0,1,0,1
2010-01-29,9396.95,22.72,13.4,7.1,28.3,21.4,75.8,1.0,0.0,-0.4400000000000013,0,0.14999999999999147,0,12.6,1,1,0,1
2010-01-30,8389.76,23.29,0.4,4.3,17.8,19.0,65.6,1.0,0.0,0.5700000000000003,0,-10.200000000000003,1,-13.0,1,1,1,1
2010-01-31,8440.62,24.4,0.0,5.6,20.0,24.0,79.95,1.0,0.0,1.1099999999999994,0,14.350000000000009,1,-0.4,0,1,1,1
2010-02-01,9565.07,24.27,0.6,7.1,23.9,20.3,70.7,1.0,0.0,-0.129999999999999,0,-9.25,0,0.6,0,1,1,0
2010-02-02,9140.98,23.34,0.0,4.6,16.1,16.9,57.35,1.0,0.0,-0.9299999999999997,0,-13.350000000000001,1,-0.6,0,1,1,0
2010-02-03,9389.42,23.63,23.0,4.0,21.7,24.0,80.75,1.0,0.0,0.28999999999999915,0,23.4,1,23.0,1,1,1,0
2010-02-04,9524.45,24.61,10.6,3.3,10.4,24.7,80.35,1.0,0.0,0.9800000000000004,0,-0.4000000000000057,0,-12.4,1,1,1,0
2010-02-05,9615.26,24.53,7.8,5.2,10.8,25.5,75.7,1.0,0.0,-0.0799999999999983,0,-4.6499999999999915,0,-2.8,0,1,1,0
2010-02-06,8251.32,21.58,37.0,3.1,7.9,22.2,79.15,1.0,0.0,-2.950000000000003,0,3.450000000000003,0,29.2,1,1,1,0
2010-02-07,8105.73,22.33,28.1,1.6,11.5,23.2,83.7,1.0,0.0,0.75,0,4.549999999999997,0,-8.899999999999999,0,1,1,0
2010-02-08,9514.85,23.67,6.4,4.0,14.9,23.0,76.1,1.0,0.0,1.3400000000000034,0,-7.6000000000000085,0,-21.700000000000003,1,1,1,0
2010-02-09,9818.61,24.47,1.0,5.4,21.1,22.8,72.65,0.0,0.0,0.7999999999999972,0,-3.4499999999999886,0,-5.4,0,1,1,0
2010-02-10,10028.64,23.71,0.5,6.3,28.3,23.9,75.4,0.0,0.0,-0.759999999999998,0,2.75,0,-0.5,0,1,1,0
2010-02-11,10174.0,24.91,0.0,6.1,24.4,22.2,71.65,0.0,0.0,1.1999999999999993,0,-3.75,0,-0.5,0,0,1,0
2010-02-12,10284.14,26.64,0.0,7.4,22.6,24.4,67.6,0.0,0.0,1.7300000000000004,0,-4.050000000000011,0,0.0,0,0,1,0
2010-02-13,8661.17,22.94,10.3,2.2,4.1,23.8,81.0,0.0,0.0,-3.6999999999999993,0,13.400000000000006,1,10.3,1,0,1,0
2010-02-14,8433.37,22.93,16.3,2.3,4.3,26.5,85.05,0.0,0.0,-0.010000000000001563,0,4.049999999999997,0,6.0,0,1,1,0
2010-02-15,9693.41,23.76,10.6,6.6,23.5,23.0,70.55,0.0,0.0,0.8300000000000018,0,-14.5,1,-5.700000000000001,0,1,1,0
2010-02-16,9010.58,22.41,0.0,5.1,16.1,17.5,63.9,0.0,0.0,-1.3500000000000014,0,-6.649999999999999,0,-10.6,1,1,1,0
2010-02-17,8989.19,21.41,0.0,5.8,22.8,15.2,62.6,0.0,0.0,-1.0,0,-1.2999999999999972,0,0.0,0,1,1,0
2010-02-18,8855.48,20.97,0.0,5.2,20.8,16.4,69.55,0.0,0.0,-0.4400000000000013,0,6.949999999999996,0,0.0,0,1,1,0
2010-02-19,8862.2,21.1,0.0,4.0,15.6,17.5,72.55,0.0,0.0,0.13000000000000256,0,3.0,0,0.0,0,1,1,0
2010-02-20,8468.08,22.34,0.0,4.6,26.4,18.8,72.55,0.0,0.0,1.2399999999999984,0,0.0,0,0.0,0,1,1,0
2010-02-21,8813.95,25.52,0.0,7.4,27.5,20.9,68.7,0.0,0.0,3.1799999999999997,0,-3.8499999999999943,0,0.0,0,1,1,0
2010-02-22,10459.5,27.94,0.0,7.7,25.0,21.4,63.4,0.0,0.0,2.4200000000000017,0,-5.300000000000004,0,0.0,0,1,1,0
2010-02-23,9559.93,23.63,0.0,7.1,21.1,18.3,56.7,0.0,0.0,-4.310000000000002,0,-6.699999999999996,0,0.0,0,0,1,0
2010-02-24,8881.45,21.68,0.0,3.3,12.2,16.0,61.6,0.0,0.0,-1.9499999999999993,0,4.899999999999999,0,0.0,0,0,0,0
2010-02-25,8922.07,20.34,0.0,4.5,17.6,16.2,72.05,0.0,0.0,-1.3399999999999999,0,10.449999999999996,1,0.0,0,0,0,0
2010-02-26,8893.76,20.53,0.0,3.3,15.2,15.8,70.55,0.0,0.0,0.19000000000000128,0,-1.5,0,0.0,0,1,0,0
2010-02-27,8552.21,22.12,0.0,6.3,25.7,18.8,70.7,0.0,0.0,1.5899999999999999,0,0.15000000000000568,0,0.0,0,1,0,0
2010-02-28,8223.16,22.23,0.0,4.7,14.0,21.6,78.4,0.0,0.0,0.10999999999999943,0,7.700000000000003,0,0.0,0,1,0,0
2010-03-01,8560.8,18.59,4.4,2.4,3.4,13.9,63.0,0.0,0.0,-3.6400000000000006,0,-15.400000000000006,1,4.4,0,1,0,0
2010-03-02,8527.12,19.63,1.4,2.6,11.2,13.0,64.4,0.0,0.0,1.0399999999999991,0,1.4000000000000057,0,-3.0000000000000004,0,1,0,0
2010-03-03,8673.29,19.37,0.0,3.7,20.3,15.1,68.9,0.0,0.0,-0.259999999999998,0,4.5,0,-1.4,0,1,0,0
2010-03-04,8860.33,20.79,0.0,3.3,14.1,17.4,76.2,0.0,0.0,1.4199999999999982,0,7.299999999999997,0,0.0,0,1,0,0
2010-03-05,8935.68,22.29,0.0,2.2,9.3,22.1,83.65,0.0,0.0,1.5,0,7.450000000000003,0,0.0,0,1,0,0
2010-03-06,8567.21,23.6,22.2,3.9,20.1,23.0,76.65,0.0,0.0,1.3100000000000023,0,-7.0,0,22.2,1,1,0,0
2010-03-07,8139.11,24.29,0.2,4.3,17.6,21.8,74.0,0.0,0.0,0.6899999999999977,0,-2.6500000000000057,0,-22.0,1,1,1,0
2010-03-08,9281.63,25.6,0.8,5.1,17.3,22.7,70.9,0.0,0.0,1.3100000000000023,0,-3.0999999999999943,0,0.6000000000000001,0,1,1,0
2010-03-09,8987.63,23.9,0.2,6.2,25.2,14.3,55.75,0.0,0.0,-1.7000000000000028,0,-15.150000000000006,1,-0.6000000000000001,0,0,1,0
2010-03-10,8648.83,19.84,0.0,3.4,5.3,16.5,77.7,0.0,0.0,-4.059999999999999,0,21.950000000000003,1,-0.2,0,1,1,0
2010-03-11,8507.2,20.07,0.0,4.0,19.7,13.4,60.2,0.0,0.0,0.23000000000000043,0,-17.5,1,0.0,0,1,1,0
2010-03-12,8461.11,20.61,0.0,4.8,19.4,14.1,61.1,0.0,0.0,0.5399999999999991,0,0.8999999999999986,0,0.0,0,1,1,0
2010-03-13,7794.21,18.68,0.0,3.9,12.7,16.0,76.15,0.0,0.0,-1.9299999999999997,0,15.050000000000004,1,0.0,0,1,1,0
2010-03-14,7590.3,19.69,1.4,3.9,19.2,17.8,78.95,0.0,0.0,1.0100000000000016,0,2.799999999999997,0,1.4,0,1,1,0
2010-03-15,8695.83,20.71,0.0,4.0,19.7,16.2,67.85,0.0,0.0,1.0199999999999996,0,-11.100000000000009,1,-1.4,0,1,0,0
2010-03-16,8839.81,19.56,0.0,4.4,23.5,17.5,73.4,0.0,0.0,-1.1500000000000021,0,5.550000000000011,0,0.0,0,1,0,0
