DATETIME,TOTALDEMAND,TEMPERATURE,Rain,Evap,Radn,VP,RH
2010-01-01,374464.94,25.09,0.2,5.2,14.6,23.1,76.35
2010-01-02,384838.07,24.77,0.0,5.9,18.4,22.0,67.8
2010-01-03,355195.18,19.43,15.2,1.9,7.3,19.1,83.25
2010-01-04,395602.57,20.63,0.2,3.4,14.4,18.2,75.15
2010-01-05,423735.03,22.66,0.0,6.8,28.1,16.9,65.35
2010-01-06,433042.65,22.68,0.0,6.9,29.5,21.2,69.15
2010-01-07,411208.68,21.88,0.0,4.1,13.9,16.9,61.75
2010-01-08,428486.93,22.88,0.4,5.0,23.2,18.2,64.9
2010-01-09,443638.09,27.42,0.0,9.2,32.6,21.0,66.1
2010-01-10,436849.95,25.3,0.0,8.8,32.8,18.8,57.55
2010-01-11,460042.56,23.7,0.0,6.0,24.0,17.2,58.65
2010-01-12,515344.46,26.94,0.0,8.8,29.2,23.1,61.85
2010-01-13,469035.36,23.47,0.0,8.0,27.8,22.2,64.4
2010-01-14,422902.33,20.29,8.2,2.7,9.7,18.4,75.9
2010-01-15,431459.14,22.05,0.0,4.1,14.5,19.4,69.25
2010-01-16,401807.19,23.51,0.0,4.8,18.4,20.4,66.45
2010-01-17,379940.96,21.99,0.0,7.1,26.5,18.2,70.6
2010-01-18,409269.07,20.79,0.2,9.1,30.6,10.9,50.4
2010-01-19,409301.24,19.55,0.0,8.0,32.9,7.5,35.55
2010-01-20,430673.45,21.93,0.0,8.2,33.0,9.4,42.1
2010-01-21,477981.66,23.66,0.0,7.6,32.5,21.1,67.95
2010-01-22,515780.37,27.57,0.0,11.4,29.6,22.1,60.75
2010-01-23,459807.02,28.21,0.0,9.0,21.2,12.5,31.55
2010-01-24,387132.89,20.75,3.2,3.8,10.6,19.4,79.9
2010-01-25,446616.84,23.47,0.0,3.9,17.2,20.4,73.05
2010-01-26,446158.6,26.36,0.0,7.2,26.3,24.7,69.5
2010-01-27,459424.42,23.68,0.0,3.9,14.9,20.3,63.6
2010-01-28,454777.78,23.16,0.8,2.8,8.7,22.8,75.65
2010-01-29,451053.64,22.72,13.4,7.1,28.3,21.4,75.8
2010-01-30,402708.56,23.29,0.4,4.3,17.8,19.0,65.6
2010-01-31,405149.68,24.4,0.0,5.6,20.0,24.0,79.95
2010-02-01,459123.53,24.27,0.6,7.1,23.9,20.3,70.7
2010-02-02,438766.99,23.34,0.0,4.6,16.1,16.9,57.35
2010-02-03,450692.37,23.63,23.0,4.0,21.7,24.0,80.75
2010-02-04,457173.49,24.61,10.6,3.3,10.4,24.7,80.35
2010-02-05,461532.69,24.53,7.8,5.2,10.8,25.5,75.7
2010-02-06,396063.39,21.58,37.0,3.1,7.9,22.2,79.15
2010-02-07,389075.07,22.33,28.1,1.6,11.5,23.2,83.7
