DATETIME,TOTALDEMAND,TEMPERATURE,Rain,Evap,Radn,VP,RH
2010-01-01,276483.81,25.02,0.0,6.4,20.3,23.1,69.75
2010-01-02,286321.3,26.35,0.2,7.4,24.6,23.8,70.15
2010-01-03,289282.97,25.46,0.0,4.2,13.1,27.6,78.25
2010-01-04,302684.32,24.6,10.4,4.0,11.3,23.2,72.1
2010-01-05,300797.88,23.87,0.0,4.8,15.5,22.4,75.0
2010-01-06,304395.2,24.79,0.4,4.4,18.7,26.9,83.8
2010-01-07,310393.83,25.29,0.0,5.4,13.9,25.5,80.9
2010-01-08,306841.68,25.19,6.6,4.6,22.6,27.6,86.5
2010-01-09,291653.97,25.01,2.4,7.2,30.5,24.9,79.45
2010-01-10,292458.81,24.94,0.0,7.0,32.4,23.1,76.0
2010-01-11,322191.3,25.14,0.0,8.0,31.7,21.4,70.4
2010-01-12,324126.29,25.29,0.0,10.8,31.2,23.0,72.8
2010-01-13,321800.19,25.65,0.0,5.8,31.8,21.2,70.6
2010-01-14,327772.43,25.76,0.0,9.2,29.6,22.5,68.95
2010-01-15,325879.6,25.28,0.6,8.2,25.9,26.0,79.0
2010-01-16,303071.0,24.69,0.0,7.8,24.7,18.4,59.85
2010-01-17,307952.84,26.48,0.0,7.6,29.7,21.8,70.9
2010-01-18,351112.64,27.41,0.4,9.0,30.7,22.7,67.5
2010-01-19,329341.39,24.1,0.0,8.6,32.7,16.0,56.65
2010-01-20,332488.97,25.05,0.0,8.4,32.6,19.1,66.3
2010-01-21,339750.29,25.9,0.0,7.0,28.5,21.7,70.7
2010-01-22,332193.39,25.75,0.0,5.6,19.1,23.1,73.45
2010-01-23,313420.95,26.02,0.0,9.0,31.4,23.5,74.0
2010-01-24,309278.3,26.28,0.0,9.0,30.7,21.8,67.75
2010-01-25,336309.83,26.42,0.0,9.2,30.1,25.0,77.35
2010-01-26,313397.77,26.68,0.0,9.2,29.9,22.8,72.1
2010-01-27,341256.94,27.0,0.0,6.8,29.7,22.5,68.95
2010-01-28,345203.47,27.59,0.0,9.8,26.1,25.0,68.5
2010-01-29,330338.39,25.18,5.8,4.8,20.3,25.6,79.15
2010-01-30,298300.47,25.17,4.2,8.6,21.8,25.5,78.9
2010-01-31,282299.68,24.06,22.0,2.8,12.7,26.6,86.3
2010-02-01,303356.93,24.49,17.8,6.4,8.6,23.4,74.95
2010-02-02,306691.1,25.09,2.0,7.4,20.7,19.4,58.9
2010-02-03,317983.98,24.82,2.4,7.4,27.3,22.0,70.5
2010-02-04,324550.23,25.38,0.0,7.4,24.1,23.1,74.95
2010-02-05,331350.11,26.15,0.0,7.2,27.0,24.3,73.3
2010-02-06,313970.69,26.34,0.0,8.2,25.3,25.2,71.05
2010-02-07,294743.17,23.05,35.4,2.0,6.3,26.0,86.0
2010-02-08,321967.18,25.12,4.6,6.8,22.4,27.1,84.05
2010-02-09,317624.12,23.6,0.6,5.8,22.7,25.0,79.2
2010-02-10,317243.03,24.29,0.6,6.6,26.8,24.0,77.1
2010-02-11,322499.0,24.76,0.2,7.0,28.7,24.0,78.95
2010-02-12,322934.74,24.92,0.0,6.8,29.2,22.8,76.3
2010-02-13,307377.69,25.73,0.0,7.6,28.1,22.8,74.8
2010-02-14,311490.85,26.89,0.0,8.0,27.6,23.5,69.55
2010-02-15,354722.41,26.94,0.0,7.4,25.8,27.9,77.45
2010-02-16,336752.59,25.25,2.0,4.2,10.2,30.4,84.8
2010-02-17,314003.34,24.03,29.4,2.2,10.9,25.5,84.15
2010-02-18,309786.62,24.93,0.0,5.8,18.6,22.0,66.55
2010-02-19,302641.95,23.78,0.0,6.2,22.7,21.0,72.35
2010-02-20,285262.1,23.88,0.4,5.6,20.8,23.7,78.45
2010-02-21,287613.52,24.19,0.8,7.0,25.8,29.3,85.55
2010-02-22,320365.54,24.11,0.0,6.0,24.0,23.5,78.5
2010-02-23,340683.18,26.52,0.0,6.4,27.4,26.0,78.25
2010-02-24,324584.3,25.62,0.0,6.6,19.9,25.3,74.6
2010-02-25,313452.69,24.23,0.0,5.0,14.4,23.5,71.0
2010-02-26,303443.3,22.57,2.8,6.6,21.5,25.2,83.35
2010-02-27,284839.65,22.82,1.2,2.6,13.6,24.6,84.9
2010-02-28,290823.21,24.77,18.6,6.6,21.2,27.1,84.6
2010-03-01,314498.72,22.9,22.2,3.2,5.4,26.0,88.4
2010-03-02,308736.35,21.41,57.4,3.2,2.6,23.8,88.25
2010-03-03,306387.26,23.21,31.6,4.4,11.7,23.1,79.05
2010-03-04,310771.34,24.18,9.4,5.0,13.0,21.3,72.15
2010-03-05,313420.78,24.44,1.0,4.6,13.2,25.2,79.15
2010-03-06,292121.24,23.19,2.0,2.0,8.7,27.3,85.5
2010-03-07,288110.38,23.87,5.2,2.8,14.3,24.6,78.75
2010-03-08,316105.39,23.63,0.4,2.2,9.2,26.1,84.35
2010-03-09,321066.2,24.13,1.4,5.8,24.5,26.6,81.15
2010-03-10,320334.03,25.51,0.0,5.6,22.7,27.3,82.0
2010-03-11,311930.08,23.73,0.0,5.6,18.3,21.8,69.1
2010-03-12,298228.48,23.1,11.4,6.4,18.6,20.0,71.65
2010-03-13,271501.54,22.36,2.4,5.6,19.2,17.6,67.5
2010-03-14,267318.45,20.82,3.6,6.0,22.4,20.6,78.9
2010-03-15,293683.35,21.68,0.4,6.0,19.5,20.1,77.35
2010-03-16,296466.88,22.23,0.6,4.0,20.6,19.9,74.2
2010-03-17,297796.01,22.73,0.0,6.6,23.6,22.1,80.65
2010-03-18,297426.77,22.47,0.4,6.2,21.6,17.2,65.75
2010-03-19,294976.08,22.69,0.0,8.0,22.4,17.8,65.8
2010-03-20,272363.79,22.02,0.0,4.2,16.7,18.9,67.7
2010-03-21,263574.69,23.61,0.2,2.8,15.2,21.7,74.0
2010-03-22,297318.3,23.26,0.0,2.6,12.9,25.6,85.1
2010-03-23,303723.65,23.59,0.0,4.2,16.4,23.8,80.4
2010-03-24,300658.83,23.05,3.0,5.6,20.2,23.4,81.7
2010-03-25,296298.25,22.2,0.0,6.4,22.0,20.8,78.0
2010-03-26,299180.49,22.63,7.4,3.8,19.3,23.8,82.6
2010-03-27,275405.27,22.08,0.0,5.8,22.4,21.4,78.5
2010-03-28,275063.82,22.96,17.2,6.6,20.8,22.0,76.65
2010-03-29,303122.51,22.38,11.2,3.8,16.0,24.4,84.65
2010-03-30,302301.02,21.58,0.8,2.6,11.9,24.6,88.6
2010-03-31,303783.19,22.63,12.2,2.8,15.6,25.2,85.55
2010-04-01,298598.1,22.64,2.4,4.0,14.9,24.3,86.15
2010-04-02,260161.85,22.74,0.0,6.0,19.0,20.8,77.3
2010-04-03,262532.49,21.72,0.0,6.0,18.8,19.7,76.7
2010-04-04,255596.62,21.11,0.0,4.0,16.9,18.5,74.05
2010-04-05,264335.36,20.91,0.0,6.0,19.8,18.3,73.7
2010-04-06,289949.11,20.54,0.0,4.0,16.9,19.4,79.2
2010-04-07,292010.42,20.82,0.0,3.4,19.1,20.1,78.85
2010-04-08,304250.27,23.14,0.0,3.8,18.6,21.0,77.3
2010-04-09,306304.77,22.73,0.0,6.0,18.9,22.8,78.05
2010-04-10,288691.21,24.09,0.0,4.0,17.3,22.7,78.0
2010-04-11,290247.08,24.39,0.0,4.2,18.7,27.1,84.05
2010-04-12,309301.65,23.21,0.2,2.0,7.2,26.4,87.75
2010-04-13,293991.95,19.75,7.6,3.2,5.5,20.5,83.75
2010-04-14,289836.15,20.26,0.0,3.6,16.7,16.8,74.65
2010-04-15,294570.37,20.01,1.2,5.0,18.6,18.3,76.95
2010-04-16,290228.7,19.46,5.4,2.6,7.8,20.1,82.7
2010-04-17,271545.52,20.72,20.8,5.4,19.2,19.0,78.6
2010-04-18,267418.05,20.64,8.8,3.4,14.9,21.2,81.75
2010-04-19,292281.99,21.11,3.4,3.8,15.4,21.7,83.45
2010-04-20,292185.96,19.28,1.0,2.4,10.7,21.6,85.15
2010-04-21,288164.79,18.85,13.6,1.0,6.8,22.7,90.9
2010-04-22,292770.55,20.18,27.0,3.2,13.6,20.6,82.5
2010-04-23,294313.91,20.7,0.0,3.4,17.3,21.7,81.35
2010-04-24,273754.02,20.25,0.2,2.6,14.2,23.4,86.95
2010-04-25,266693.83,22.39,2.6,4.0,17.1,23.5,83.15
2010-04-26,267528.21,19.88,0.0,4.8,17.9,12.2,54.95
2010-04-27,290032.56,18.25,0.0,3.0,17.2,12.9,63.9
2010-04-28,292135.6,20.44,0.0,3.0,15.9,19.0,77.75
2010-04-29,298563.93,21.15,0.0,3.0,16.7,21.0,78.75
2010-04-30,293939.74,19.66,0.0,4.8,17.7,13.9,69.55
2010-05-01,269728.22,20.55,0.0,4.0,15.7,18.4,77.55
2010-05-02,262340.79,19.87,0.0,4.0,17.3,19.7,79.5
2010-05-03,265038.12,20.08,0.0,4.8,14.4,18.9,78.3
2010-05-04,292571.72,18.54,8.4,0.0,8.6,21.4,92.8
2010-05-05,290224.76,19.65,16.2,2.8,16.6,21.4,82.4
2010-05-06,287432.28,15.86,0.0,5.2,17.3,13.8,66.55
2010-05-07,281979.45,16.19,0.0,3.4,17.4,12.0,59.95
2010-05-08,263578.04,16.78,0.0,2.8,16.3,13.4,71.4
2010-05-09,257805.93,17.76,0.0,3.2,14.8,16.1,75.4
2010-05-10,285438.11,18.62,0.4,1.8,11.1,17.8,79.45
2010-05-11,288499.77,17.66,0.0,0.8,14.1,18.9,78.3
2010-05-12,285428.03,17.97,2.8,6.6,16.6,18.7,76.1
2010-05-13,282846.63,15.24,0.0,2.6,16.7,9.4,53.1
2010-05-14,283832.27,14.56,0.0,2.4,16.7,10.0,65.9
2010-05-15,264765.46,15.27,0.0,2.8,16.5,10.9,66.3
2010-05-16,260916.7,14.29,0.0,1.8,8.5,12.4,69.2
2010-05-17,288078.76,14.58,0.0,1.4,6.9,13.9,77.35
2010-05-18,288530.03,15.15,0.0,2.8,15.5,13.7,72.95
2010-05-19,284814.89,15.11,0.0,2.6,14.4,11.9,69.2
2010-05-20,284145.44,16.81,0.0,2.8,13.3,14.9,76.55
2010-05-21,286764.49,16.43,0.8,1.8,6.5,18.5,89.15
2010-05-22,264857.38,14.54,3.2,2.8,15.1,15.4,76.95
2010-05-23,263236.84,15.81,0.0,2.0,10.9,13.8,74.55
2010-05-24,288471.3,18.26,0.0,3.0,11.2,15.9,77.45
2010-05-25,291354.31,17.78,2.4,1.8,5.3,18.4,85.3
2010-05-26,288224.53,18.38,0.0,4.0,14.0,15.3,74.65
2010-05-27,285770.18,16.77,0.0,3.2,12.7,12.5,65.1
2010-05-28,286529.53,16.7,0.0,1.8,10.0,16.0,80.1
2010-05-29,269950.79,17.14,15.4,1.6,3.8,21.6,92.65
2010-05-30,264987.98,15.69,2.0,4.0,13.7,11.1,63.6
2010-05-31,289546.8,15.31,0.0,2.6,13.9,11.6,67.0
2010-06-01,288719.69,16.32,0.0,2.2,12.4,13.6,75.75
2010-06-02,285971.63,16.55,1.0,1.8,9.2,17.8,84.95
2010-06-03,289277.05,16.99,0.0,2.4,11.1,15.5,78.1
2010-06-04,286115.33,15.25,0.0,3.4,14.0,14.1,77.15
2010-06-05,265825.78,18.23,0.0,4.2,13.9,13.4,65.5
