DATETIME,TOTALDEMAND,TEMPERATURE,Rain,Evap,Radn,VP,RH
2010-01-31,8953.92,23.36,42.2,190.6,688.5,589.8,65.35
2010-02-28,9167.57,23.2,152.2,138.2,505.5,580.8,71.82
2010-03-31,8712.44,21.47,99.6,125.2,514.5,552.0,70.64
2010-04-30,8205.28,18.05,19.5,95.6,416.5,451.3,70.79
2010-05-31,8806.57,14.4,98.6,63.6,303.0,380.1,73.99
2010-06-30,9542.5,11.38,93.1,50.3,265.5,303.9,73.11
2010-07-31,9688.56,11.4,50.0,48.7,254.0,310.7,73.04
2010-08-31,9266.03,12.24,24.8,93.9,425.9,271.2,64.89
2010-09-30,8537.42,14.74,45.4,108.1,477.7,331.0,66.86
2010-10-31,8201.46,16.84,69.4,119.0,512.1,449.1,73.16
2010-11-30,8368.4,18.86,123.8,138.8,607.2,490.8,71.56
2010-12-31,8252.41,21.41,77.0,171.5,682.1,542.2,68.2
2011-01-31,8826.72,23.47,34.2,179.7,678.9,614.8,67.67
2011-02-28,9247.68,23.54,18.6,144.2,468.4,555.8,66.92
2011-03-31,8593.0,21.25,100.6,120.9,428.3,557.5,69.81
2011-04-30,8189.89,16.96,100.0,88.2,368.1,429.2,75.06
2011-05-31,9067.31,12.71,82.8,64.8,312.5,328.6,69.85
2011-06-30,9474.45,11.97,50.0,54.1,256.3,311.6,73.46
2011-07-31,9558.78,11.09,111.8,62.7,278.0,285.7,70.26
2011-08-31,9024.79,12.66,36.2,64.7,370.1,348.6,74.72
2011-09-30,8448.05,14.93,65.8,115.0,461.2,330.8,66.43
2011-10-31,8141.71,16.9,27.6,121.4,558.3,425.5,71.96
2011-11-30,8387.35,20.47,145.2,145.7,544.5,532.8,71.6
2011-12-31,7816.73,18.62,111.8,134.9,584.2,485.0,70.92
2012-01-31,8331.49,21.85,94.6,172.8,714.3,564.6,68.92
2012-02-29,8398.85,21.08,153.0,118.0,513.9,574.2,76.71
2012-03-31,8091.68,19.68,208.2,115.7,440.8,544.3,74.2
2012-04-30,7937.81,17.65,163.0,87.0,403.2,462.7,72.88
2012-05-31,8663.92,13.03,14.2,66.0,355.4,337.7,69.98
2012-06-30,9148.18,11.56,128.8,44.7,233.3,332.2,77.39
2012-07-31,8991.51,11.02,28.0,55.5,289.9,307.1,73.76
2012-08-31,8670.96,11.95,6.8,95.3,429.2,257.7,63.14
2012-09-30,7781.2,14.92,20.4,126.4,537.8,303.8,61.63
2012-10-31,7570.4,16.6,33.6,155.3,660.6,361.6,63.47
2012-11-30,7759.59,19.3,32.2,150.9,585.9,472.9,68.56
2012-12-31,7690.88,21.26,34.2,187.9,662.5,505.7,62.4
2013-01-31,8351.6,23.05,129.4,203.9,680.4,594.7,66.68
2013-02-28,8157.02,21.29,134.8,140.9,524.3,545.6,72.76
2013-03-31,7909.47,21.12,61.6,142.7,549.5,553.5,70.45
2013-04-30,7569.16,16.83,77.2,89.2,414.9,442.0,73.55
2013-05-31,8088.01,13.91,44.6,68.5,336.9,364.3,70.71
2013-06-30,8602.35,12.55,166.8,46.6,215.6,351.2,77.07
2013-07-31,8613.24,11.57,9.6,57.1,314.1,321.2,72.0
2013-08-31,8191.12,13.41,9.8,99.7,439.2,273.4,61.13
2013-09-30,7520.15,17.22,33.2,136.6,543.9,338.6,61.21
2013-10-31,7511.08,18.42,9.0,190.3,726.5,331.8,53.83
2013-11-30,7558.78,18.73,169.2,171.8,630.9,423.5,64.44
2013-12-31,7702.28,21.29,31.4,210.9,821.2,500.6,62.95
2014-01-31,8071.57,22.32,14.4,201.1,736.8,534.0,64.08
2014-02-28,8121.61,21.71,58.4,144.1,502.7,506.5,66.62
2014-03-31,7803.09,21.22,144.6,119.4,470.7,585.6,73.75
2014-04-30,7473.46,17.93,38.8,76.8,357.3,460.2,71.86
2014-05-31,7843.44,15.22,7.2,76.8,345.6,381.8,69.77
2014-06-30,8228.06,12.74,26.6,57.6,244.3,316.8,69.7
2014-07-31,8668.73,11.25,9.0,70.3,312.4,265.6,65.5
2014-08-31,8465.45,11.72,179.2,69.9,349.8,321.7,71.73
2014-09-30,7687.4,15.14,18.6,112.8,481.8,339.9,65.34
2014-10-31,7433.6,18.06,89.6,160.7,623.6,398.3,61.6
2014-11-30,7678.67,20.29,26.4,181.8,644.2,439.2,59.94
2014-12-31,7538.83,21.35,169.6,180.9,668.8,534.0,63.85
2015-01-31,7972.67,22.68,126.2,193.1,694.8,583.5,65.49
2015-02-28,8018.75,22.01,42.8,137.9,519.2,548.0,71.54
2015-03-31,7764.33,19.73,22.8,142.5,484.4,500.0,65.66
2015-04-30,7455.67,16.09,299.6,88.0,358.9,445.5,72.27
2015-05-31,8002.87,13.61,73.2,73.4,312.2,346.8,67.47
2015-06-30,8628.6,11.07,61.0,41.2,262.4,302.0,70.38
2015-07-31,9005.77,9.68,44.8,57.5,308.3,263.7,68.77
2015-08-31,8311.81,12.36,47.4,81.1,382.2,276.1,63.71
2015-09-30,7717.77,14.41,33.4,114.6,497.1,305.0,62.8
2015-10-31,7442.59,19.24,41.6,153.4,565.1,430.3,63.41
2015-11-30,7668.17,20.61,97.8,164.1,604.9,469.6,65.74
2015-12-31,7757.4,20.95,57.7,197.5,715.4,483.6,61.51
2016-01-31,7904.28,22.01,262.0,174.5,580.5,559.1,66.77
2016-02-29,8386.25,23.07,10.8,179.9,645.5,524.0,63.47
2016-03-31,8114.21,21.77,28.0,151.7,520.6,581.3,69.74
2016-04-30,7518.53,18.7,16.6,97.4,382.1,508.5,73.33
2016-05-31,7678.15,15.35,14.0,89.1,333.0,359.2,66.95
2016-06-30,8558.16,12.87,332.8,64.3,262.3,324.8,70.35
2016-07-31,8637.36,12.45,75.4,66.5,316.5,320.2,70.15
2016-08-31,8454.79,12.36,99.4,74.0,381.0,315.8,71.82
2016-09-30,7653.54,15.45,50.8,110.2,474.8,350.3,67.06
2016-10-31,7198.82,17.55,17.4,177.0,652.0,348.8,59.38
2016-11-30,7605.24,20.32,14.0,194.1,737.3,422.3,58.26
2016-12-31,8034.13,22.98,53.8,210.9,683.5,557.7,63.76
2017-01-31,8587.88,24.35,48.0,212.8,652.4,630.4,64.45
2017-02-28,8638.44,23.56,80.6,177.6,538.9,559.6,65.6
2017-03-31,7947.35,21.46,230.8,115.3,392.5,639.8,76.11
2017-04-30,7307.09,17.14,41.2,97.6,408.9,435.0,71.41
2017-05-31,7947.71,14.37,9.8,63.9,344.5,382.9,72.16
2017-06-30,8745.27,12.2,103.8,46.2,252.2,330.7,74.84
2017-07-31,8747.02,10.87,0.4,70.0,339.9,265.5,68.99
2017-08-31,8293.78,12.6,25.4,96.6,429.9,256.1,62.18
2017-09-30,7579.16,15.96,0.6,159.5,538.0,252.8,52.9
2017-10-31,7300.94,18.7,33.2,157.8,604.2,457.9,67.96
2017-11-30,7526.25,19.31,21.8,166.3,675.0,460.0,67.95
2017-12-31,8048.06,22.98,46.0,204.5,672.6,577.5,64.43
2018-01-31,8364.91,23.3,12.6,221.8,704.9,590.7,64.21
2018-02-28,8216.02,22.31,51.4,176.9,586.4,513.4,66.72
2018-03-31,7813.08,21.73,40.6,152.3,519.6,553.8,67.66
2018-04-30,7544.27,20.3,11.0,115.7,430.1,485.4,67.09
2018-05-31,7896.18,14.34,11.4,74.2,353.8,330.2,65.59
2018-06-30,8750.5,11.67,71.2,57.2,269.2,309.5,71.99
2018-07-31,8673.08,11.29,5.0,87.7,354.6,252.2,63.7
