FID,FireName,FireNo,Label,StartDate,EndDate,area_ha
5692,Black Bett,BMS 00-050,2000-01 Wildfire,8/04/2001,1/01/1970,185.0135885
5693,Cockrells Lookout,BMS 00-046,2000-01 Wildfire,25/01/2001,1/01/1970,15.65266201
5694,Wool Pack Gap,BMS 00-047,2000-01 Wildfire,25/01/2001,1/01/1970,48.89639633
5695,Paling Flat,BMS 00-049,2000-01 Wildfire,10/04/2001,1/01/1970,233.4998388
5696,Kariong,00/01-01,2000-01 Wildfire,10/07/2000,10/07/2000,0.3645593
5697,Woy Woy Bay,00/01-02,2000-01 Wildfire,17/07/2000,17/07/2000,1.4588067
5698,One Tree Hill Fire,00/01-03,2000-01 Wildfire,4/08/2000,4/08/2000,1.9436086
5699,Chain Valley Bay Rd Fire 1,00/01-04,2000-01 Wildfire,20/08/2000,21/08/2000,2.81801841
5700,Awaba Bay South,00/01-05,2000-01 Wildfire,27/08/2000,29/08/2000,0.62408366
5701,Pickle Bottle Creek,00/01-06,2000-01 Wildfire,5/09/2000,5/09/2000,13.05262783
5702,Pickle Bottle Creek,00/01-06,2000-01 Wildfire,5/09/2000,5/09/2000,32.44586391
5703,Somersby Falls,00/01-07,2000-01 Wildfire,1/09/2000,1/09/2000,9.05021914
5704,Ironbark Road,00/01-08,2000-01 Wildfire,4/09/2000,6/09/2000,21.02232917
5705,Rumbalara Reserve,00/01-09,2000-01 Wildfire,5/09/2000,6/09/2000,5.76086846
5706,Warrah Trig Fire,00/01-10,2000-01 Wildfire,6/09/2000,6/09/2000,0.45868118
5707,Colongra Swamp,00/01-11,2000-01 Wildfire,8/09/2000,9/09/2000,97.87407475
5708,Kanangra Drive,00/01-13,2000-01 Wildfire,11/09/2000,14/09/2000,115.0595559
5709,Rumbalara Reserve 2,00/01-14,2000-01 Wildfire,11/09/2000,13/09/2000,42.12205427
5710,Garland Valley,00/01-15,2000-01 Wildfire,13/09/2000,15/09/2000,171.1960456
5711,Wollombi Arm,00/01-16,2000-01 Wildfire,14/09/2000,15/09/2000,72.64500988
5712,Martindale Trail,00/01-17,2000-01 Wildfire,15/09/2000,16/09/2000,73.67237229
5713,Grassy Arm,00/01-18,2000-01 Wildfire,20/09/2000,20/09/2000,80.51746342
5714,Bakers Road,00/01-19,2000-01 Wildfire,20/09/2000,26/09/2000,252.114732
5715,Dunns Gully,00/01-20,2000-01 Wildfire,22/09/2000,24/09/2000,55.36350507
5716,Reedy Creek,00/01-22,2000-01 Wildfire,29/09/2000,3/10/2000,155.1434977
5717,Ingles Rd/Watagans,00/01-23,2000-01 Wildfire,6/10/2000,11/10/2000,118.5386717
5718,Ingles Rd/Watagans,00/01-23,2000-01 Wildfire,6/10/2000,11/10/2000,542.7947897
5719,Riordan's,00/01-24,2000-01 Wildfire,8/10/2000,11/10/2000,106.6510255
5720,Cromarty Hill,00/01-25,2000-01 Wildfire,1/11/2000,2/11/2000,1.69577694
5721,Cromarty Hill 2,00/01-26,2000-01 Wildfire,2/11/2000,3/11/2000,0.07053219
5722,Moonee,00/01-27,2000-01 Wildfire,10/11/2000,13/11/2000,213.4822837
5723,Bombi Road South,00/01-28,2000-01 Wildfire,18/12/2000,19/12/2000,1.47365908
5724,Abermain 2,00/01-29,2000-01 Wildfire,20/12/2000,21/12/2000,1.15469783
5725,Winters Run,00/01-30,2000-01 Wildfire,25/12/2000,8/01/2001,274.3305132
5726,Winters Run,00/01-30,2000-01 Wildfire,25/12/2000,8/01/2001,46.54497027
5727,Winters Run,00/01-30,2000-01 Wildfire,25/12/2000,8/01/2001,50.88625483
5728,Winters Run,00/01-30,2000-01 Wildfire,25/12/2000,8/01/2001,35.94607557
5729,Winters Run,00/01-30,2000-01 Wildfire,25/12/2000,8/01/2001,211.3414023
