label,type,burnstatus,owning_age,StartDate,EndDate,pct_burn,area_ha
Nerang National Park/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,0,50.46385835
Vernon/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,0,116.0143297
Noosa National Park/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,0,33.38602305
Great Sandy National Park/2000/W/9,WF,OUT,QPWS,2000-01-01,2000-01-01,0,10.12417331
Great Sandy National Park/2000/W/8,WF,OUT,QPWS,2000-01-01,2000-01-01,0,23611.63739
Noosa National Park/2000/W/2,WF,OUT,QPWS,2000-01-01,2000-01-01,0,412.9230955
Palmview Regional Park/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,0,29.46252828
Mapleton National Park/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,0,553.7777798
Poona National Park/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,0,91.08605904
Great Sandy National Park/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,100,0.69160776
Bellthorpe National Park/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,0,13.34951728
Caloundra Regional Park/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,0,0.24112938
Mt Isa/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,70,7823.184292
Mt Isa/2000/W/2,WF,OUT,QPWS,2000-01-01,2000-01-01,50,8160.422275
Paluma Range National Park/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,0,636.5688923
Paluma Range National Park/2000/W/2,WF,OUT,QPWS,2000-01-01,2000-01-01,0,1538.536297
Kutini-Payamu (Iron Range) National Park (Cape York Peninsula Aboriginal Land)/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,0,5832.260939
Rinyirru (Lakefield) National Park (Cape York Peninsula Aboriginal Land)/2000/W/1,WF,OUT,QPWS,2000-01-01,2000-01-01,70,563736.6357
Yelarbon State Forest/2000/W/1,WF,OUT,QPWS,2000-01-20,2000-01-20,0,24.39438272
Carbrook Wetlands Regional Park 1/2000/W/2,WF,OUT,QPWS,2000-02-01,2000-02-01,75,76.00462583
Poona National Park/2000/W/2,WF,OUT,QPWS,2000-02-11,2000-02-11,0,771.9582476
White Rock/2000/W/1,WF,OUT,QPWS,2000-02-22,2000-02-22,0,2.28095244
Booroondoo State Forest/2000/W/1,WF,OUT,QPWS,2000-03-06,2000-03-06,0,25.16407086
Great Sandy National Park/2000/W/2,WF,OUT,QPWS,2000-04-18,2000-04-18,60,0.63231857
White Rock/2000/W/2,WF,OUT,QPWS,2000-05-01,2000-05-01,0,49.13446242
Flinders Group National Park (Cape York Peninsula Aboriginal Land)/2000/W/1,WF,OUT,QPWS,2000-06-23,2000-06-23,95,538.9709343
Currimundi Lake (Kathleen McArthur) Regional Park/2000/W/1,WF,OUT,QPWS,2000-07-15,2000-07-15,0,0.49838445
Lamington National Park/2000/W/1,WF,OUT,QPWS,2000-07-23,2000-07-23,0,28.84357949
Mooloolah River National Park/2000/W/5,WF,OUT,QPWS,2000-07-23,2000-07-23,0,103.2452966
Mooloolah River National Park/2000/W/4,WF,OUT,QPWS,2000-07-24,2000-07-24,0,82.39902373
Calrossie State Forest/2000/W/1,WF,OUT,QPWS,2000-08-01,2000-08-01,0,4098.132815
Dularcha National Park/2000/W/1,WF,OUT,QPWS,2000-08-01,2000-08-01,0,38.60263884
D'Aguilar National Park/2000/W/8,WF,OUT,QPWS,2000-08-16,2000-08-16,0,1125.155537
Bowling Green Bay National Park/2000/W/1,WF,OUT,QPWS,2000-08-22,2000-08-22,50,9154.641665
Barakula State Forest/2000/W/1,WF,OUT,QPWS,2000-08-26,2000-08-26,60,2886.121485
Barakula State Forest/2000/W/2,WF,OUT,QPWS,2000-08-29,2000-08-29,0,1057.986662
Mooloolah River/2000/W/2,WF,OUT,QPWS,2000-08-29,2000-08-29,0,0.69069408
Deepwater National Park/2000/W/2,WF,OUT,QPWS,2000-08-30,2000-08-30,0,27.41934594
White Rock/2000/W/3,WF,OUT,QPWS,2000-09-01,2000-09-01,0,193.4331621
White Rock/2000/W/4,WF,OUT,QPWS,2000-09-01,2000-09-01,0,275.2902163
Carnarvon National Park/2000/W/1,WF,OUT,QPWS,2000-09-01,2000-09-01,0,1736.780944
Durikai State Forest/2000/W/1,WF,OUT,QPWS,2000-09-01,2000-09-01,75,1194.91174
Mooloolah River/2000/W/1,WF,OUT,QPWS,2000-09-04,2000-09-04,0,17.32670287
Eurimbula National Park/1999/W/1,WF,OUT,QPWS,2000-09-05,2000-09-05,0,26740.0415
Durikai State Forest/2000/W/2,WF,OUT,QPWS,2000-09-06,2000-09-06,80,1515.54287
Hallett State Forest/2000/W/1,WF,OUT,QPWS,2000-09-06,2000-09-06,80,881.2569056
D'Aguilar National Park/2000/W/4,WF,OUT,QPWS,2000-09-09,2000-09-09,0,375.702579
Durikai State Forest/2000/W/3,WF,OUT,QPWS,2000-09-09,2000-09-09,75,1126.772275
Mooloolah River National Park/2000/W/3,WF,OUT,QPWS,2000-09-09,2000-09-09,0,62.43828179
Mooloolah River National Park/2000/W/2,WF,OUT,QPWS,2000-09-11,2000-09-11,0,288.7182964
D'Aguilar National Park/1996/W/4,WF,OUT,QPWS,2000-09-12,2000-09-12,0,1660.090085
Burrum Coast National Park/2000/W/1,WF,OUT,QPWS,2000-09-17,2000-09-17,0,392.247186
Lamington NP - Green Mountains & Southern sections/2000/W/1,WF,OUT,QPWS,2000-09-20,2000-09-20,0,9.28821839
Carbrook Wetlands Regional Park 1/2000/W/1,WF,OUT,QPWS,2000-09-24,2000-09-24,75,14.81569205
Great Sandy National Park/2000/W/3,WF,OUT,QPWS,2000-09-29,2000-09-29,100,0.03895031
White Rock/2000/W/6,WF,OUT,QPWS,2000-09-30,2000-09-30,0,55.79338988
White Rock/2000/W/7,WF,OUT,QPWS,2000-09-30,2000-09-30,0,13.24323186
White Rock/2000/W/9,WF,OUT,QPWS,2000-09-30,2000-09-30,0,173.7050129
White Rock/2000/W/8,WF,OUT,QPWS,2000-09-30,2000-09-30,0,239.492339
White Rock/2000/W/5,WF,OUT,QPWS,2000-09-30,2000-09-30,0,1102.499532
White Rock Regional Park/2000/W/1,WF,OUT,QPWS,2000-09-30,2000-09-30,0,751.9862057
Currimundi Lake (Kathleen McArthur) Regional Park/2000/W/2,WF,OUT,QPWS,2000-10-06,2000-10-06,100,2.20159894
Barakula State Forest/2000/W/3,WF,OUT,QPWS,2000-10-07,2000-10-07,75,2268.771825
D'Aguilar National Park/2000/W/3,WF,OUT,QPWS,2000-10-10,2000-10-10,0,0.77123596
Girringun National Park/2000/W/1,WF,OUT,QPWS,2000-10-11,2000-10-11,0,533.7944836
Bulli State Forest/2000/W/1,WF,OUT,QPWS,2000-10-27,2000-10-27,0,4.44144216
Bunyaville Regional Park/2000/W/1,WF,OUT,QPWS,2000-10-28,2000-10-28,0,18.79490649
Girringun National Park/2000/W/2,WF,OUT,QPWS,2000-11-01,2000-11-01,0,18485.14521
Royton Timber Reserve/2000/W/1,WF,OUT,QPWS,2000-11-15,2000-11-15,80,8987.451618
Binkey State Forest 2/2000/W/1,WF,OUT,QPWS,2000-11-23,2000-11-23,0,56.50416694
D'Aguilar National Park/2000/W/1,WF,OUT,QPWS,2000-11-28,2000-11-28,0,3.27616775
Mount Barney National Park/2000/W/1,WF,OUT,QPWS,2000-11-29,2000-11-29,80,1302.047992
Carnarvon National Park/2000/W/2,WF,OUT,QPWS,2000-12-01,2000-12-01,100,25.30271732
Great Sandy National Park/2000/W/5,WF,OUT,QPWS,2000-12-01,2000-12-01,95,10.37551641
Great Sandy National Park/2000/W/4,WF,OUT,QPWS,2000-12-01,2000-12-01,80,7.96795782
Great Sandy National Park/2000/W/6,WF,OUT,QPWS,2000-12-01,2000-12-01,60,56.71666425
Deepwater National Park/2000/W/1,WF,OUT,QPWS,2000-12-01,2000-12-01,0,5031.073105
D'Aguilar National Park/2000/W/7,WF,OUT,QPWS,2000-12-02,2000-12-02,0,811.749885
D'Aguilar National Park/2000/W/9,WF,OUT,QPWS,2000-12-02,2000-12-02,0,105.3818215
Burrum Coast National Park/2000/W/2,WF,OUT,QPWS,2000-12-04,2000-12-04,70,206.3789141
Great Sandy National Park/2000/W/7,WF,OUT,QPWS,2000-12-08,2000-12-08,95,957.6430217
Mooloolah River National Park/2000/W/1,WF,OUT,QPWS,2000-12-09,2000-12-09,0,4.14198288
Daandine State Forest/2000/W/1,WF,OUT,QPWS,2000-12-14,2000-12-14,0,6.33969539
D'Aguilar National Park/2000/W/6,WF,OUT,QPWS,2000-12-19,2000-12-19,0,640.8412158
Allies Creek State Forest/2000/W/1,WF,OUT,QPWS,2000-12-19,2000-12-19,0,2052.434573
Tuan State Forest/2000/W/1,WF,OUT,QPWS,2000-12-20,2000-12-20,0,3.43499867
Burrum Coast National Park/2000/W/3,WF,OUT,QPWS,2000-12-20,2000-12-20,60,256.126275
D'Aguilar National Park/2000/W/2,WF,OUT,QPWS,2000-12-23,2000-12-23,0,849.1044494
Lamington National Park/2001/W/3,WF,OUT,QPWS,2001-01-01,2001-01-01,0,64.71515065
Lamington National Park/2001/W/4,WF,OUT,QPWS,2001-01-01,2001-01-01,0,35.83064261
Pine Ridge Regional Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,90,27.29484788
White Rock/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,4.48598402
White Rock/2001/W/2,WF,OUT,QPWS,2001-01-01,2001-01-01,0,150.4914409
Durikai State Forest/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,575.9192393
Great Sandy National Park/2001/W/5,WF,OUT,QPWS,2001-01-01,2001-01-01,0,10.23120109
Great Sandy National Park/2001/W/6,WF,OUT,QPWS,2001-01-01,2001-01-01,0,2.86253298
Noosa National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,26.74396949
Burrum Coast National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,537.6452975
Burrum Coast National Park/2001/W/2,WF,OUT,QPWS,2001-01-01,2001-01-01,0,0.22486434
Burrum Coast National Park/2001/W/3,WF,OUT,QPWS,2001-01-01,2001-01-01,0,4.1471466
Vernon/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,7.10238372
Vernon/2001/W/2,WF,OUT,QPWS,2001-01-01,2001-01-01,0,1.49374499
Mapleton National Park/2002/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,80,1144.271852
Mapleton National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,11.20648176
Poona/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,1.65848643
Poona National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,75,135.2669839
