DATETIME,TOTALDEMAND,TEMPERATURE,Rain,Evap,Radn,VP,RH
2010-01-04,1510100.76,22.48,15.6,16.4,54.7,82.4,75.64
2010-01-11,3037003.89,23.79,0.4,46.8,184.1,130.2,63.35
2010-01-18,3029758.51,22.72,8.4,44.6,156.7,132.6,65.55
2010-01-25,3127293.47,23.59,3.2,51.9,177.0,112.4,55.84
2010-02-01,3078396.21,23.98,15.2,38.0,139.9,152.5,71.54
2010-02-08,3050016.88,23.38,112.9,25.8,93.3,159.5,76.16
2010-02-15,3220480.93,24.19,38.7,36.3,128.3,166.6,74.84
2010-02-22,3046030.72,23.1,0.0,39.8,154.2,127.7,67.61
2010-03-01,2956482.33,21.3,4.4,31.6,109.2,120.6,67.57
2010-03-08,2927249.95,22.23,24.6,25.1,109.9,135.1,73.53
2010-03-15,2816885.03,20.5,1.6,30.2,121.2,108.3,68.24
2010-03-22,2953317.4,21.39,0.0,33.6,150.9,120.5,68.04
2010-03-29,3006823.96,22.68,0.0,29.5,117.3,134.6,70.42
2010-04-05,2676367.92,18.54,72.0,22.2,85.2,116.2,76.33
2010-04-12,2763902.28,19.86,10.9,26.4,103.8,112.0,68.41
2010-04-19,2803888.48,17.39,0.0,19.8,103.4,105.2,72.62
2010-04-26,2765045.7,18.6,5.5,20.8,89.6,111.6,69.23
2010-05-03,2822987.63,15.45,0.2,17.1,81.9,90.5,72.78
2010-05-10,2853936.82,15.27,3.0,18.7,85.7,86.5,70.69
2010-05-17,2968868.59,13.98,0.2,18.3,81.7,66.2,64.32
2010-05-24,3061853.79,12.96,28.4,10.2,59.9,82.2,75.79
2010-05-31,3051847.68,14.7,66.9,10.1,40.1,100.6,84.54
2010-06-07,3088254.39,13.91,70.5,13.5,55.7,84.1,75.63
2010-06-14,3218031.63,9.9,0.0,12.8,72.4,60.1,69.24
2010-06-21,3211247.4,11.45,0.2,11.4,62.0,66.7,70.3
2010-06-28,3205325.53,11.86,22.4,9.8,53.9,79.0,77.92
2010-07-05,3431673.46,8.56,0.8,9.7,61.7,55.4,71.71
2010-07-12,3242200.12,11.75,3.2,8.9,47.9,78.5,76.76
2010-07-19,3184091.15,11.47,2.8,14.1,64.3,61.4,65.98
2010-07-26,3294240.87,10.81,9.5,11.4,67.3,64.7,70.94
2010-08-02,3162312.98,12.92,33.7,13.8,57.5,80.7,75.54
2010-08-09,3233026.27,10.32,9.0,15.8,90.0,62.0,70.27
2010-08-16,3121080.54,12.96,10.8,21.2,84.6,64.2,65.01
2010-08-23,3054267.52,12.8,5.0,22.2,98.4,60.0,64.06
2010-08-30,3065584.2,12.69,0.0,24.1,111.8,56.6,60.36
2010-09-06,2901680.91,15.89,21.4,22.4,74.2,87.6,71.42
2010-09-13,2924493.08,13.35,4.6,21.3,106.2,74.3,69.22
2010-09-20,2883903.54,13.72,18.8,24.8,117.1,70.1,65.04
2010-09-27,2790985.76,16.18,0.4,28.8,132.3,87.6,69.11
2010-10-04,2740966.25,14.92,32.4,23.0,110.1,81.9,68.67
2010-10-11,2758379.34,16.9,5.8,24.5,97.4,110.2,77.86
2010-10-18,2793140.62,17.73,3.8,34.0,133.7,86.4,59.91
2010-10-25,2780005.54,16.06,23.4,26.8,120.3,97.3,75.69
2010-11-01,2763628.28,17.46,4.2,29.1,124.3,112.0,74.17
2010-11-08,2740214.97,15.36,62.4,26.4,129.8,94.0,70.98
2010-11-15,2897878.63,21.52,25.2,34.7,145.9,133.2,69.1
2010-11-22,2743353.08,18.04,20.0,34.6,160.8,107.5,72.29
2010-11-29,2857422.49,20.79,6.4,37.1,153.9,123.0,72.45
2010-12-06,2824577.6,20.91,44.2,24.1,102.1,139.7,78.74
2010-12-13,2934633.4,22.89,5.4,45.8,183.0,128.5,65.45
2010-12-20,2787858.3,20.85,19.4,37.0,135.5,111.1,63.45
2010-12-27,2608568.35,20.66,16.6,41.9,157.8,111.9,66.56
2011-01-03,2664824.76,21.59,3.4,43.7,176.8,130.3,70.68
2011-01-10,2774363.46,21.98,22.6,33.9,139.8,137.2,73.08
2011-01-17,3026090.62,24.41,9.4,35.5,138.3,149.9,67.4
2011-01-24,3013959.82,23.89,0.0,44.4,165.3,125.8,62.61
2011-01-31,3185255.08,24.29,0.0,47.5,171.3,140.8,65.49
2011-02-07,3534768.09,27.0,0.2,52.2,144.1,153.0,57.44
2011-02-14,2913587.13,21.74,16.4,29.3,81.8,127.9,71.24
2011-02-21,3055272.85,23.87,1.2,30.5,112.3,149.8,70.27
2011-02-28,2925252.6,21.56,0.8,32.2,130.2,125.1,68.71
2011-03-07,2837781.22,20.91,0.8,33.4,111.1,109.4,62.44
2011-03-14,2952687.83,22.9,0.2,29.0,105.6,139.9,69.81
2011-03-21,2882758.66,21.22,74.8,20.4,72.3,143.1,79.64
2011-03-28,2855872.58,20.54,22.4,27.6,105.7,111.9,65.24
2011-04-04,2805593.86,19.15,3.0,25.1,97.8,111.6,72.64
2011-04-11,2786207.55,17.32,20.6,23.4,97.9,105.2,75.25
2011-04-18,2789566.03,16.38,30.0,25.0,94.5,86.4,70.7
2011-04-25,2677806.07,16.62,7.2,15.5,73.7,97.0,74.88
2011-05-02,2785980.7,15.98,48.0,13.4,56.3,111.0,83.19
2011-05-09,2922541.24,13.52,0.4,16.0,80.4,77.6,71.54
2011-05-16,3125647.69,10.77,0.0,17.8,84.0,55.6,63.09
2011-05-23,3047150.08,13.35,1.0,13.1,77.0,80.9,71.63
2011-05-30,3147370.77,12.02,15.0,12.1,47.8,69.6,67.8
2011-06-06,3074894.7,13.85,79.2,12.7,57.5,86.6,77.27
2011-06-13,3255945.25,11.21,6.6,12.2,55.7,68.8,74.91
2011-06-20,3159748.72,12.86,20.8,15.1,58.5,75.6,73.68
2011-06-27,3205722.67,10.42,0.0,13.0,69.1,60.7,66.67
2011-07-04,3125017.04,13.05,5.8,10.9,52.8,81.6,77.96
2011-07-11,3173049.81,11.3,2.2,21.4,74.1,47.3,55.39
2011-07-18,3279184.56,10.79,3.4,11.5,56.8,63.6,70.51
2011-07-25,3321536.2,11.04,103.8,10.3,44.6,74.6,80.89
2011-08-01,3172987.14,9.92,0.0,14.2,82.9,64.8,70.9
2011-08-08,2980194.37,13.13,2.4,16.8,75.3,76.7,70.64
2011-08-15,3129242.27,10.9,8.8,11.1,75.9,69.7,74.29
2011-08-22,3069265.18,13.23,24.8,15.6,77.0,78.8,77.21
2011-08-29,2939133.46,13.16,0.2,15.3,101.1,87.5,76.1
2011-09-05,2888204.96,14.34,0.0,17.7,94.8,87.1,75.62
2011-09-12,2935692.34,13.74,16.8,23.1,94.8,67.0,64.44
2011-09-19,2797639.65,15.5,0.0,32.3,129.4,79.9,66.01
2011-09-26,2775753.08,15.75,43.4,31.2,107.5,75.2,61.9
2011-10-03,2766924.98,14.39,17.2,24.5,106.1,80.1,71.2
2011-10-10,2767996.8,15.35,3.6,20.5,107.0,94.8,76.12
2011-10-17,2732722.42,16.4,0.6,26.4,132.3,85.7,66.64
2011-10-24,2768457.9,19.42,0.0,40.0,180.1,103.1,68.68
2011-10-31,2711327.51,17.95,11.8,24.2,95.4,109.1,75.55
2011-11-07,2728709.81,18.9,14.4,33.4,144.5,107.0,68.96
2011-11-14,2898280.79,22.95,17.6,45.5,151.9,135.9,69.15
2011-11-21,2839882.72,20.28,15.6,29.9,118.6,129.6,74.19
2011-11-28,2746734.47,19.01,97.6,24.7,90.8,118.3,74.44
2011-12-05,2723292.31,18.01,6.2,36.8,144.2,100.7,64.66
2011-12-12,2701391.08,17.85,48.0,21.4,90.9,115.5,79.48
2011-12-19,2691098.42,18.33,5.8,30.7,128.4,98.8,66.95
2011-12-26,2618562.69,20.89,51.8,30.0,132.5,136.8,76.3
2012-01-02,2465667.27,19.92,0.0,43.1,193.5,108.6,67.12
2012-01-09,2802243.88,22.13,12.0,41.5,168.6,126.6,66.31
2012-01-16,2730524.44,20.25,10.6,42.1,178.2,95.9,58.77
2012-01-23,2879298.89,22.15,31.8,38.0,166.2,137.3,73.34
2012-01-30,2845410.38,22.89,40.2,30.3,118.9,155.1,79.53
2012-02-06,2803737.67,20.27,82.0,25.1,106.5,134.0,78.14
2012-02-13,2731039.8,20.28,39.0,24.8,94.0,137.4,78.71
2012-02-20,2833244.9,21.47,21.4,33.9,153.2,138.4,75.66
2012-02-27,2880898.78,22.07,5.4,33.4,155.4,136.1,70.6
2012-03-05,2854357.21,21.75,66.4,25.5,71.0,141.3,75.73
2012-03-12,2683942.22,19.12,94.4,26.8,119.1,117.6,73.54
2012-03-19,2767717.11,20.4,41.8,29.2,107.8,132.7,76.62
2012-03-26,2673452.48,18.7,10.6,25.2,97.9,110.9,71.71
2012-04-02,2682609.16,19.31,2.8,22.0,101.0,120.9,73.95
2012-04-09,2573470.17,19.89,9.4,31.0,117.4,118.1,70.29
2012-04-16,2657645.72,16.42,2.6,20.8,108.2,86.5,64.63
2012-04-23,2739150.47,18.8,144.2,11.1,57.3,133.3,84.04
2012-04-30,2716022.02,15.02,4.2,17.9,84.9,90.3,72.06
2012-05-07,2807879.62,14.37,2.2,16.5,97.0,80.6,68.49
2012-05-14,2826732.94,13.81,0.0,18.5,86.5,76.4,65.96
2012-05-21,2935283.99,11.91,0.0,12.6,81.9,74.8,71.39
2012-05-28,2996364.34,12.19,10.4,14.7,65.7,71.2,71.41
2012-06-04,2998772.06,13.46,16.0,9.0,50.2,93.2,81.34
2012-06-11,3126046.62,10.62,45.6,10.6,52.2,69.0,74.99
2012-06-18,3034280.86,12.26,68.8,10.3,55.2,86.8,80.94
2012-06-25,3122430.64,10.76,0.0,12.1,59.7,59.9,70.94
2012-07-02,3079866.9,10.65,0.0,10.4,58.8,76.1,77.35
2012-07-09,3110505.12,10.47,12.0,10.8,63.0,65.3,71.31
2012-07-16,2926786.99,12.13,7.8,12.5,65.4,77.0,75.37
2012-07-23,3010859.93,10.75,2.2,13.1,64.6,68.3,74.37
2012-07-30,3005931.25,11.21,6.0,13.2,68.5,70.5,74.46
2012-08-06,3034883.6,10.29,0.0,16.5,84.2,56.1,68.65
2012-08-13,3013784.79,11.27,0.0,20.8,85.1,55.0,61.87
2012-08-20,2915066.34,11.58,0.0,19.8,95.6,58.7,64.11
2012-08-27,2767456.31,13.97,6.8,25.5,112.5,59.6,58.53
2012-09-03,2807693.01,11.92,1.2,23.3,109.7,59.7,64.0
2012-09-10,2642881.03,15.47,0.0,37.1,124.8,55.9,52.3
2012-09-17,2664250.33,13.36,2.0,23.0,119.5,79.2,71.7
2012-09-24,2573777.11,15.57,1.6,27.7,132.7,81.1,65.23
2012-10-01,2481314.17,16.94,15.6,34.2,134.5,74.4,57.17
2012-10-08,2535894.56,17.28,2.0,36.6,137.3,75.1,57.88
2012-10-15,2593923.81,13.79,30.6,27.8,134.4,78.2,69.93
2012-10-22,2538299.96,18.53,0.0,36.8,154.3,88.2,59.81
2012-10-29,2507098.27,16.5,1.0,37.6,156.5,80.4,63.75
2012-11-05,2561025.54,18.76,0.2,39.5,153.5,99.4,66.39
2012-11-12,2570964.21,19.54,9.0,37.0,140.6,110.7,66.9
2012-11-19,2520501.29,17.51,9.0,31.7,129.2,97.5,69.05
2012-11-26,2611077.32,19.66,2.6,37.9,155.8,109.8,67.44
2012-12-03,2833947.7,22.31,13.8,31.1,111.2,149.9,74.86
2012-12-10,2586838.58,19.5,0.2,48.4,171.5,87.8,54.7
2012-12-17,2663902.88,21.44,2.2,37.5,126.1,112.4,64.06
2012-12-24,2755167.25,23.37,0.0,47.9,161.7,127.9,59.48
2012-12-31,2273069.05,20.19,29.4,40.0,155.2,112.6,67.04
2013-01-07,2687784.12,22.58,0.0,55.0,202.8,128.7,64.84
2013-01-14,2852185.83,23.34,6.6,52.2,144.9,123.0,61.22
2013-01-21,2865619.1,23.18,1.2,45.4,149.1,131.2,66.29
2013-01-28,2795554.6,23.24,18.8,34.5,116.7,149.2,72.46
2013-02-04,2678993.43,20.33,144.8,34.3,125.4,126.4,69.51
2013-02-11,2785461.7,21.83,7.8,38.4,163.1,133.8,70.95
2013-02-18,2662895.88,20.07,13.2,30.7,123.3,129.1,75.01
2013-02-25,2811759.22,23.15,71.8,37.9,134.3,154.9,76.39
2013-03-04,2694007.85,20.81,56.0,32.3,93.6,136.4,74.66
2013-03-11,2746702.49,22.2,0.0,34.4,145.4,139.1,74.94
2013-03-18,2673249.39,20.87,0.0,31.3,125.3,121.2,67.56
2013-03-25,2689911.29,21.18,0.0,33.7,130.8,114.2,65.2
2013-04-01,2546069.49,20.81,5.6,31.4,116.1,122.1,68.48
2013-04-08,2546157.1,17.27,31.6,18.1,86.7,112.2,78.79
2013-04-15,2584945.36,18.11,1.8,22.8,113.2,113.0,73.52
2013-04-22,2576762.85,15.97,43.8,20.1,84.8,97.3,73.66
2013-04-29,2478581.7,15.46,0.0,22.7,105.9,84.6,67.91
2013-05-06,2610080.84,15.42,0.0,19.7,88.0,90.6,69.17
2013-05-13,2642485.57,14.64,0.2,12.1,80.5,95.4,75.15
2013-05-20,2702429.55,13.29,0.6,19.5,82.2,62.2,61.96
2013-05-27,2832329.76,12.57,41.4,12.4,58.1,78.4,74.61
2013-06-03,2803551.19,14.03,36.4,13.1,56.6,95.2,76.87
2013-06-10,2776667.97,13.36,0.0,8.0,56.2,84.3,74.74
